Recency,Frequency,Monetary,Cluster
325,1,77183.6,2
2,7,4310.0,0
75,4,1797.24,0
18,1,1757.55,0
310,1,334.4,1
36,8,2506.04,0
204,1,89.0,1
232,1,1079.4,1
214,1,459.4,1
22,3,2811.43,0
33,1,6207.67,0
1,2,1168.06,0
57,4,6372.58,0
52,3,2662.06,0
287,1,189.9,1
3,10,5226.23,0
109,2,552.0,0
7,4,1313.1,0
291,2,641.38,1
4,1,168.9,0
51,4,3545.69,0
44,2,1887.96,0
71,3,1298.04,0
311,1,364.6,1
25,1,742.9300000000001,0
10,2,457.5,0
315,2,1628.12,1
129,1,4008.62,0
81,2,852.24,0
21,4,2724.81,0
4,5,1845.31,0
184,5,1850.56,1
28,2,585.27,0
337,2,401.9,1
15,6,2780.66,0
79,1,549.84,0
21,1,460.89,0
72,4,1582.6,0
63,2,1272.48,0
19,12,3018.63,0
35,2,2409.9,0
45,1,1635.66,0
119,4,1108.65,0
303,1,84.3,1
323,1,225.6,1
49,1,427.7,0
148,1,1710.39,1
22,2,3415.3,0
49,5,1708.12,0
32,5,2888.55,0
78,3,11072.67,0
308,2,693.3299999999999,1
74,3,1226.88,0
66,3,758.1,0
217,3,562.41,1
24,21,124914.53,3
3,9,3649.1,0
112,1,668.58,0
63,1,600.39,0
15,4,807.04,0
95,3,803.5600000000001,0
0,8,1859.31,0
162,2,1760.96,1
78,1,777.2,0
194,1,582.73,1
21,3,825.8,0
25,9,7956.46,0
9,4,3750.4,0
43,1,256.4,0
35,15,6487.45,2
42,5,5059.32,0
0,7,13375.87,0
84,2,806.14,0
79,2,7829.89,0
99,1,509.01,0
1,18,4951.41,2
14,2,2906.85,0
366,1,173.55,1
3,1,172.06,0
21,5,5005.46,0
22,1,133.4,0
57,1,1002.31,0
243,1,476.49,1
44,1,449.45,0
22,4,4067.29,0
156,2,197.88,1
10,5,9035.52,0
16,2,430.57,0
134,1,707.09,0
56,1,3528.34,0
73,6,2466.86,0
44,3,3181.04,0
66,7,2363.23,0
71,2,947.4,0
94,2,826.88,0
18,2,1189.59,0
53,4,1344.78,0
10,8,1212.05,0
17,2,742.1899999999999,0
187,2,729.5400000000001,1
2,30,19824.05,2
32,7,6572.11,0
29,5,3938.55,0
17,18,7375.79,2
53,1,723.38,0
15,11,6816.42,0
22,6,13219.74,0
3,1,680.99,0
11,1,527.2,0
28,4,3281.63,0
22,10,5596.32,0
17,8,2484.98,0
32,6,4541.72,0
9,3,1298.66,0
336,1,334.93,1
5,10,5417.93,0
38,1,460.4,0
63,2,263.21000000000004,0
165,2,433.74,1
15,7,1246.1,0
81,1,1043.1,0
21,3,403.7000000000001,0
23,11,4257.82,0
336,1,2169.39,1
95,5,3723.87,0
18,2,482.05,0
232,1,73.5,1
134,3,1304.81,0
26,2,398.27,0
284,1,176.5,1
142,2,982.57,0
66,2,138.03,0
112,1,612.29,0
267,1,1017.68,1
353,1,383.7,1
77,2,1312.06,0
28,5,2502.84,0
0,5,2056.89,0
63,1,340.84,0
79,5,2634.26,0
142,1,599.68,0
39,2,192.72,0
19,11,1789.77,0
9,8,4485.72,0
0,3,1316.66,0
81,3,348.71000000000004,0
9,6,1933.48,0
59,4,1662.28,0
14,1,125.22,0
30,1,349.83000000000004,0
130,1,1089.18,0
91,2,716.35,0
43,3,12601.830000000002,0
29,1,363.95,0
22,4,5568.35,0
19,17,13400.24,2
29,3,981.18,0
36,1,372.7,0
75,2,1000.39,0
46,2,1161.5,0
197,2,207.8,1
166,1,95.2,1
79,1,964.83,0
357,1,168.0,1
38,2,437.82,0
8,10,3692.28,0
50,2,603.71,0
16,5,11990.96,0
7,1,269.96,0
310,2,561.71,1
5,3,2134.01,0
302,1,238.85,1
8,7,3781.74,0
261,1,456.9,1
288,1,145.92,1
86,1,351.65,0
22,10,9401.28,0
2,32,4124.69,2
39,2,519.61,0
8,2,1020.42,0
227,1,160.54000000000002,1
315,1,218.45,1
35,5,1315.83,0
35,3,657.8,0
21,2,2794.51,0
78,1,440.42,0
246,1,415.7,1
39,1,197.71,0
238,2,511.36,1
2,15,7281.38,2
3,9,2338.15,0
234,2,2040.1,1
17,1,196.94000000000003,0
7,1,144.0,0
39,1,214.9,0
28,2,646.68,0
211,2,9864.26,1
317,1,452.85,1
92,2,437.6,0
108,3,418.1,0
37,10,3338.2200000000003,0
51,2,618.27,0
19,4,3811.22,0
9,8,3023.08,0
29,7,1032.58,0
28,10,2599.04,0
189,5,577.0600000000001,1
58,1,153.12,0
21,1,739.1999999999999,0
79,2,254.18,0
60,1,1579.51,0
78,3,1126.85,0
22,5,2099.54,0
52,1,1193.32,0
74,1,704.0400000000001,0
57,5,3344.38,0
277,1,315.6,1
2,4,2291.19,0
95,2,713.3,0
29,1,355.53,0
21,1,177.31,0
16,9,3641.24,0
14,3,1339.41,0
1,20,13689.67,2
232,1,180.1,1
276,1,305.1,1
106,2,641.13,0
211,2,2683.82,1
